 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
2435	2435	0.251	1.416	2.519	1.000	372.975	374.478	617.199	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	372.724	374.227	616.698	0.501
2436	2436	0.126	0.754	4.172	1.000	312.357	577.372	616.949	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	312.107	577.122	616.698	0.501
2437	2437	0.126	0.754	4.172	1.000	398.525	395.018	617.951	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	398.274	394.767	617.700	0.501
2438	2438	0.754	3.576	1.408	1.000	653.771	401.196	618.452	0.763	0.528	0.388	-1.219E-15	38.245	-180.000	1.444	1.966	1.362	653.771	400.779	617.700	0.501
2439	2439	6.664	19.375	0.690	1.000	533.485	581.059	619.577	1.680	1.390	0.782	-4.795	67.395	-90.638	1.209	2.148	1.777	533.537	580.628	618.702	0.668
2440	2440	1.132	5.178	1.043	1.000	369.468	412.552	618.786	1.028	0.630	0.469	73.600	-28.396	-113.427	1.632	2.192	1.344	368.717	411.800	618.201	0.501
2441	2441	0.126	0.754	4.172	1.000	208.656	283.802	618.953	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	208.405	283.551	618.702	0.501
2442	2442	3.143	10.388	0.997	1.000	449.564	186.613	621.778	1.095	0.862	0.828	77.026	60.571	17.953	1.270	1.322	1.041	449.373	186.362	621.708	0.668
2443	2443	0.126	0.754	4.172	1.000	173.587	211.160	622.460	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	173.337	210.910	622.209	0.501
2444	2444	0.377	2.078	1.793	1.000	469.162	580.879	622.460	0.915	0.000	0.000	-180.000	0.000	0.000	Infinity	Infinity	NaN	468.410	580.628	622.209	0.501
2445	2445	0.126	0.754	4.172	1.000	174.088	210.158	623.462	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	173.838	209.908	623.211	0.501
2446	2446	0.126	0.754	4.172	1.000	468.160	580.879	623.462	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	467.909	580.628	623.211	0.501
2447	2447	0.126	0.754	4.172	1.000	489.201	466.156	623.963	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	488.950	465.905	623.712	0.501
2448	2448	0.503	2.635	1.563	1.000	381.742	579.376	624.464	0.906	0.346	0.000	0.000	58.283	-90.000	2.618	Infinity	Infinity	381.742	579.126	623.712	0.501
2449	2449	2.892	9.623	1.062	1.000	195.587	211.487	625.182	1.268	0.744	0.704	-4.223	-53.929	76.196	1.705	1.800	1.056	195.380	211.411	624.714	0.668
2450	2450	0.126	0.754	4.172	1.000	489.702	466.156	624.464	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	489.451	465.905	624.213	0.501
2451	2451	0.126	0.754	4.172	1.000	381.992	577.873	624.965	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	381.742	577.623	624.714	0.501
2452	2452	0.126	0.754	4.172	1.000	319.872	323.879	625.465	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	319.621	323.629	625.215	0.501
2453	2453	0.126	0.754	4.172	1.000	319.371	324.380	625.966	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	319.120	324.130	625.716	0.501
2454	2454	0.126	0.754	4.172	1.000	381.491	579.376	625.966	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	381.241	579.126	625.716	0.501
2455	2455	1.383	5.550	1.265	1.000	324.153	185.656	628.517	0.824	0.676	0.545	-105.769	34.738	-101.079	1.219	1.513	1.241	323.629	185.360	627.720	0.501
2456	2456	1.132	5.114	1.083	1.000	346.089	578.485	628.360	0.962	0.662	0.431	-6.257	-55.219	115.072	1.452	2.233	1.538	345.171	578.124	627.720	0.501
2457	2457	1.132	5.321	0.961	1.000	457.639	451.405	629.028	1.099	0.691	0.380	-12.079	-38.742	138.847	1.591	2.890	1.817	456.888	451.377	628.221	0.501
2458	2458	0.126	0.754	4.172	1.000	345.421	578.875	628.471	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	345.171	578.625	628.221	0.501
2459	2459	0.126	0.754	4.172	1.000	458.140	450.626	628.972	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	457.890	450.375	628.722	0.501
2460	2460	1.006	4.766	1.057	1.000	363.331	253.994	630.099	1.099	0.655	0.299	72.030	52.290	31.819	1.677	3.674	2.191	363.206	253.493	629.223	0.501
2461	2461	0.126	0.754	4.172	1.000	317.868	278.792	629.473	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	317.617	278.541	629.223	0.501
2462	2462	0.126	0.754	4.172	1.000	318.870	279.293	629.473	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	318.619	279.042	629.223	0.501
2463	2463	0.629	3.245	1.309	1.000	234.706	338.007	630.074	1.120	0.388	0.000	90.000	35.264	-90.000	2.887	Infinity	Infinity	234.456	338.157	629.223	0.501
2464	2464	1.132	5.218	1.020	1.000	437.322	391.567	630.030	1.014	0.604	0.528	-21.848	21.848	-138.980	1.679	1.921	1.144	437.350	391.260	629.223	0.501
2465	2465	0.126	0.754	4.172	1.000	313.359	214.667	629.974	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	313.109	214.417	629.724	0.501
2466	2466	0.126	0.754	4.172	1.000	266.267	571.360	629.974	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	266.017	571.110	629.724	0.501
2467	2467	2.012	8.784	0.675	1.000	489.576	580.378	631.195	1.590	0.835	0.379	-11.753	-71.995	106.143	1.903	4.199	2.206	488.950	580.127	629.724	0.501
2468	2468	0.126	0.754	4.172	1.000	231.700	378.987	630.475	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	231.450	378.736	630.225	0.501
2469	2469	0.126	0.754	4.172	1.000	505.733	580.378	630.475	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	505.482	580.127	630.225	0.501
2470	2470	0.126	0.754	4.172	1.000	231.199	378.486	630.976	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	230.949	378.235	630.726	0.501
2471	2471	0.377	2.026	1.936	1.000	573.531	529.446	630.976	0.647	0.373	0.000	-45.000	-0.000	0.000	1.732	Infinity	Infinity	573.114	529.028	630.726	0.501
2472	2472	0.126	0.754	4.172	1.000	517.756	580.378	630.976	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	517.506	580.127	630.726	0.501
2473	2473	0.126	0.754	4.172	1.000	379.989	479.682	631.477	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	379.738	479.432	631.227	0.501
2474	2474	0.126	0.754	4.172	1.000	573.865	528.778	631.477	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	573.615	528.527	631.227	0.501
2475	2475	0.503	2.594	1.638	1.000	404.286	347.049	632.855	0.732	0.396	0.303	35.264	-26.565	-125.264	1.848	2.414	1.307	403.785	346.674	632.229	0.501
2476	2476	0.126	0.754	4.172	1.000	280.796	362.955	634.483	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	280.545	362.705	634.233	0.501
2477	2477	0.126	0.754	4.172	1.000	125.995	123.490	634.984	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	125.744	123.240	634.733	0.501
2478	2478	1.006	5.044	0.892	1.000	468.410	577.685	636.174	1.559	0.498	0.325	56.094	71.721	-17.594	3.131	4.797	1.532	468.410	577.623	634.733	0.501
