Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
31, 1,0.00633963, 0.00170762, 0.00114419, 339.553, 105.187, 0.035491, 481.788, -162.925, 0.536145, 0.00101402, 0.00803877, 0.00544624, 443.962, -147.658, 0.0183682, 0.00101265, 0.00464663, 0.00318546, 235.846, -78.5198, 0.0174277, 0.00101151, -3.2739, 52.146, 394.102, -2.25306, 39.1517, 198.661, -0.00284968, -0.00180385, 0.0070743, -0.00170857, -0.00170857, -0.00170857
32, 1,0.00698861, 0.00182922, 0.0012229, 346.789, 111.991, 0.0414008, 481.357, -157.37, 0.639641, 0.00104655, 0.0088126, 0.00599985, 458.243, -150.363, 0.0294071, 0.00104499, 0.00516822, 0.00357035, 235.847, -77.2211, 0.0285026, 0.00104373, -4.47253, 43.7748, 411.786, -2.90521, 31.3957, 203.173, -0.00317562, -0.00222892, 0.00788501, -0.00195292, -0.00195292, -0.00195292
33, 1,0.00432843, 0.00125417, 0.000835755, 267.611, 79.4251, 0.0161934, 468.723, -153.86, 0.17184, 0.000945005, 0.00558019, 0.00374042, 346.624, -112.147, 0, 0.000944116, 0.00307861, 0.00207381, 188.938, -59.6323, 0, 0.000943312, -5.81729, 27.3002, 314.959, -5.70577, 19.2929, 165.31, -0.00189237, -0.00131777, 0.00502991, -0.00106302, -0.00106302, -0.00106302
34, 1,0.00480426, 0.00140895, 0.000941154, 299.282, 88.9883, 0.0168542, 469.341, -154.519, 0.184794, 0.00097742, 0.00621026, 0.00415188, 387.824, -128.857, 0, 0.000976732, 0.00340071, 0.00227849, 211.121, -70.3344, 0, 0.000975805, -2.65577, 39.9916, 349.237, -1.86069, 29.7384, 183.125, -0.00208873, -0.00134018, 0.00551981, -0.00115028, -0.00115028, -0.00115028
35, 1,0.00523985, 0.00156087, 0.00104346, 321.202, 97.8292, 0.0174536, 465.248, -147.032, 0.195742, 0.00100961, 0.00679457, 0.00457113, 418.356, -135.811, 0.00105641, 0.00100913, 0.00369032, 0.00249905, 224.634, -71.4883, 0.000643444, 0.00100808, -8.42037, 43.4911, 372.363, -7.74085, 31.9303, 190.276, -0.00234259, -0.0014021, 0.00594974, -0.00130498, -0.00130498, -0.00130498
36, 1,0.00599912, 0.00170183, 0.00113579, 339.229, 105.576, 0.0204746, 472.662, -156.981, 0.254371, 0.00104217, 0.00769464, 0.00518001, 444.233, -147.825, 0.0123113, 0.0010416, 0.00430852, 0.00292612, 234.744, -77.6543, 0.0114488, 0.0010404, -1.73587, 45.2195, 399.992, -2.14835, 32.5327, 202.579, -0.0026653, -0.00174461, 0.00682518, -0.00154279, -0.00154279, -0.00154279
37, 1,0.00377727, 0.00113675, 0.000757086, 237.811, 71.8346, 0.010758, 466.255, -155.483, 0.0664676, 0.000941637, 0.00491084, 0.00326845, 309.253, -104.327, 2.71051E-20, 0.000940764, 0.00264643, 0.00176047, 166.716, -56.8863, 2.71051E-20, 0.00094004, 1.30951, 31.6215, 280.051, 1.34287, 24.1059, 145.21, -0.00161732, -0.00107071, 0.00438091, -0.000869513, -0.000869513, -0.000869513
38, 1,0.00432053, 0.00128563, 0.000857753, 267.979, 81.1996, 0.0113896, 460.841, -146.005, 0.0783126, 0.000973798, 0.00560138, 0.0037518, 348.687, -114.243, 0, 0.000973191, 0.00304372, 0.00205002, 187.696, -60.5977, 0, 0.000972345, -4.63329, 35.2994, 312.061, -4.58993, 25.6862, 160.697, -0.00189891, -0.00116852, 0.00492119, -0.00105318, -0.00105318, -0.00105318
39, 1,0.00473802, 0.00142414, 0.000949771, 296.314, 89.908, 0.012141, 463.059, -148.67, 0.093053, 0.00100611, 0.00615702, 0.00410388, 385.692, -128.601, 0, 0.00100565, 0.00332342, 0.00221685, 207.4, -69.2639, 0, 0.00100468, -0.623187, 41.8679, 344.559, -0.325822, 30.7874, 177.33, -0.00203828, -0.00126586, 0.0053909, -0.0010976, -0.0010976, -0.0010976
40, 1,0.00520746, 0.00156036, 0.00104033, 323.87, 98.0391, 0.0132196, 467.516, -154.702, 0.114282, 0.00103847, 0.0067623, 0.0045111, 421.33, -139.443, 0.000665223, 0.00103803, 0.00365734, 0.00244234, 226.912, -74.8464, 0.00041482, 0.00103694, -2.24377, 41.6269, 378.946, -1.83512, 30.8671, 195.507, -0.00225944, -0.00145048, 0.00597345, -0.00122731, -0.00122731, -0.00122731
41, 1,0.00331672, 0.00102233, 0.000681625, 207.9, 64.5416, 0.00751976, 452.487, -139.298, 0.00280215, 0.000938029, 0.00433555, 0.00289078, 272.078, -90.5691, 0, 0.000937284, 0.00230101, 0.00153708, 144.053, -47.9459, 0, 0.000936636, -0.581609, 26.5857, 245.703, -0.677994, 19.7834, 124.732, -0.00143975, -0.00093631, 0.0038457, -0.000770557, -0.000770557, -0.000770557
42, 1,0.00381454, 0.00116387, 0.000776158, 240.096, 73.4521, 0.00825813, 454.168, -139.892, 0.0170201, 0.000970267, 0.00497378, 0.00330481, 313.11, -105.549, 0, 0.000969706, 0.00265937, 0.00176585, 167.473, -57.0223, 0, 0.000968942, 1.51184, 35.2405, 279.894, 1.44659, 26.357, 143.263, -0.00163136, -0.00100227, 0.00434633, -0.000868531, -0.000868531, -0.000868531
43, 1,0.00434572, 0.0012988, 0.000866595, 271.795, 81.9513, 0.009529, 460.946, -148.568, 0.0421757, 0.00100262, 0.0056381, 0.00376446, 353.18, -117.426, 0, 0.00100205, 0.00305882, 0.00204854, 190.903, -63.3359, 0, 0.00100117, -1.95107, 39.9905, 314.24, -1.89683, 30.0481, 161.857, -0.00189075, -0.00110445, 0.00490063, -0.00103781, -0.00103781, -0.00103781
44, 1,0.00476122, 0.00142344, 0.00094823, 298.859, 89.8776, 0.0106144, 467.102, -156.974, 0.0637242, 0.00103496, 0.00617959, 0.00411559, 388.228, -129.961, 0, 0.00103441, 0.00334714, 0.0022329, 209.929, -70.5699, 0, 0.00103341, 0.983307, 39.1634, 349.738, 1.06163, 29.1365, 181.512, -0.00202581, -0.00132502, 0.00545964, -0.0010889, -0.0010889, -0.0010889
45, 1,0.0029073, 0.000910327, 0.00060738, 182.486, 57.4613, 0.00655492, 410.909, -135.816, 0, 0.000934695, 0.0038142, 0.00253922, 239.596, -79.8389, 0, 0.000933846, 0.00200352, 0.00133428, 125.7, -41.9452, 0, 0.000933272, 0.411399, 23.1867, 215.919, 0.293977, 17.302, 108.24, -0.0012494, -0.000830228, 0.00337515, -0.000655142, -0.000655142, -0.000655142
46, 1,0.00340046, 0.00104235, 0.00069555, 213.075, 65.7861, 0.00688093, 424.268, -133.032, 0, 0.000966781, 0.00443819, 0.00295711, 278.442, -92.5791, 0, 0.000966146, 0.00236679, 0.00157954, 148.083, -49.129, 0, 0.000965466, -0.648636, 30.0324, 248.353, -0.800381, 22.1715, 126.016, -0.00147242, -0.000894403, 0.00386907, -0.000791372, -0.000791372, -0.000791372
47, 1,0.00384176, 0.00117076, 0.000781217, 241.453, 73.8482, 0.00729576, 446.755, -136.871, 0, 0.000998946, 0.00500652, 0.00333363, 314.791, -105.457, 0, 0.000998437, 0.00268225, 0.0017887, 168.568, -56.7136, 0, 0.000997648, 0.751092, 35.8845, 279.735, 0.736911, 26.8573, 142.547, -0.00164511, -0.00098101, 0.00433732, -0.000877798, -0.000877798, -0.000877798
48, 1,0.00435751, 0.00129237, 0.000862115, 272.979, 81.5176, 0.00830571, 459.292, -147.917, 0.0183019, 0.00103126, 0.00564397, 0.00376309, 353.977, -117.687, 0, 0.00103073, 0.00307604, 0.00205493, 192.424, -63.9061, 0, 0.00102983, -1.24234, 35.9846, 318.32, -1.18462, 27.2658, 165.637, -0.00187992, -0.00117772, 0.00496729, -0.00103176, -0.00103176, -0.00103176
