Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
3424, 1,0.00242779, 0.000775864, 0.000519709, 152.111, 48.8563, 0.00469884, 294.685, -97.591, 0, 0.00107886, 0.00319988, 0.00213605, 200.638, -66.4753, 0, 0.00107831, 0.00165924, 0.00110776, 103.898, -34.4322, 0, 0.00107775, -0.076415, 17.69, 181.812, -0.000641571, 13.5843, 89.713, -0.00104918, -0.000717248, 0.0028451, -0.000542973, -0.000542973, -0.000542973
3425, 1,0.00281798, 0.00080824, 0.000540799, 176.595, 50.9744, 0.00558854, 350.482, -115.936, 0, 0.000976865, 0.00362149, 0.00241682, 227.145, -75.359, 0, 0.000976222, 0.00201827, 0.00134793, 126.389, -41.9391, 0, 0.000975693, 0.63649, 20.1896, 205.251, 0.492152, 16.3917, 108.933, -0.00117483, -0.000819071, 0.0032167, -0.000651654, -0.000651654, -0.000651654
3426, 1,0.00283741, 0.000842109, 0.000562541, 177.908, 53.1334, 0.00553206, 346.939, -114.819, 0, 0.00101075, 0.00367477, 0.00244906, 230.625, -76.6642, 0, 0.00101013, 0.00200404, 0.00133707, 125.546, -41.7058, 0, 0.00100956, 0.662866, 23.7373, 205.592, 0.482246, 18.2773, 106.358, -0.00119518, -0.000764893, 0.00320406, -0.000648518, -0.000648518, -0.000648518
3427, 1,0.00284885, 0.000873971, 0.000583907, 178.764, 55.1359, 0.00551497, 346.076, -114.757, 0, 0.00104467, 0.00371833, 0.0024749, 233.506, -77.7491, 0, 0.00104404, 0.00198333, 0.00132056, 124.373, -41.425, 0, 0.00104343, 0.31003, 24.555, 208.382, 0.280315, 18.4357, 105.559, -0.00121924, -0.000762522, 0.00324336, -0.000647854, -0.000647854, -0.000647854
3428, 1,0.00285928, 0.00090552, 0.000605608, 179.3, 57.06, 0.00555532, 348.206, -115.119, 0, 0.00107861, 0.00376044, 0.00250618, 235.978, -78.3801, 0, 0.00107796, 0.00196215, 0.00130771, 122.98, -40.8663, 0, 0.00107731, -0.0445903, 22.4246, 212.76, 0.0174686, 16.9621, 105.619, -0.00123606, -0.000813706, 0.00332161, -0.000643989, -0.000643989, -0.000643989
3429, 1,0.00321152, 0.00092443, 0.000617772, 201.185, 58.3187, 0.00635077, 398.732, -132.355, 0, 0.000976707, 0.00413085, 0.00275294, 259.046, -85.87, 0, 0.00097597, 0.00229629, 0.00153119, 143.697, -47.5446, 0, 0.000975363, 0.150517, 23.9572, 233.502, 0.00309315, 19.0049, 123.626, -0.00135065, -0.00091174, 0.00365574, -0.000750283, -0.000750283, -0.000750283
3430, 1,0.0032471, 0.000964438, 0.000643784, 203.839, 60.8585, 0.00628271, 392.817, -128.779, 0, 0.00101052, 0.00420641, 0.00280134, 264.247, -88.1144, 0, 0.00100986, 0.00229213, 0.0015277, 143.816, -48.007, 0, 0.0010092, 0.996933, 27.9799, 235.366, 0.796633, 21.3157, 121.909, -0.00136841, -0.000862759, 0.00366095, -0.000741075, -0.000741075, -0.000741075
3431, 1,0.0032731, 0.00100091, 0.000668211, 205.41, 63.151, 0.00628194, 392.834, -128.865, 0, 0.00104439, 0.00426905, 0.00284034, 268.127, -89.3432, 0, 0.00104372, 0.00228151, 0.00151873, 143.078, -47.6809, 0, 0.00104302, 0.342186, 28.732, 238.955, 0.292741, 21.3664, 121.383, -0.00140109, -0.000864573, 0.00371539, -0.000746057, -0.000746057, -0.000746057
3432, 1,0.00329423, 0.00103541, 0.000691693, 206.676, 65.27, 0.00639191, 401.795, -133.996, 0, 0.00107837, 0.00432477, 0.00287944, 271.519, -90.3239, 0, 0.00107761, 0.00226813, 0.00151022, 142.228, -47.3347, 0, 0.00107686, -0.0113233, 26.8058, 244.177, 0.0395548, 20.0579, 121.907, -0.0014235, -0.000917415, 0.00380656, -0.000745442, -0.000745442, -0.000745442
3433, 1,0.00359936, 0.00104069, 0.000694692, 226.371, 65.6676, 0.00712872, 441.545, -140.439, 0, 0.000976421, 0.00463484, 0.00308798, 291.565, -97.6645, 0, 0.000975744, 0.0025681, 0.00171259, 161.566, -54.4191, 0, 0.00097506, 1.98025, 28.1645, 262.849, 1.82971, 22.0875, 139.34, -0.00149782, -0.00101598, 0.00409854, -0.000820029, -0.000820029, -0.000820029
3434, 1,0.00366409, 0.00108682, 0.000724953, 229.654, 68.5867, 0.00707229, 432.801, -132.315, 0, 0.00101013, 0.00474555, 0.00316042, 297.769, -99.0998, 0, 0.00100958, 0.00258715, 0.0017246, 161.942, -53.8267, 0, 0.00100884, 0.362929, 31.4877, 265.449, 0.142428, 23.6711, 137.667, -0.00155492, -0.000969783, 0.00413274, -0.000846656, -0.000846656, -0.000846656
3435, 1,0.00369595, 0.00112776, 0.000752323, 232.224, 71.1601, 0.00706986, 433.031, -132.8, 0, 0.00104397, 0.00481847, 0.00320367, 302.924, -101.418, 0, 0.00104344, 0.00257802, 0.00171407, 161.93, -54.4056, 0, 0.00104264, 0.982944, 33.1144, 270.157, 0.912716, 24.5349, 137.769, -0.00157754, -0.000971161, 0.00419437, -0.000838695, -0.000838695, -0.000838695
3436, 1,0.00373523, 0.00116523, 0.000777698, 234.436, 73.4754, 0.00723768, 446.553, -140.402, 0, 0.00107794, 0.00489524, 0.00325878, 307.451, -102.544, 0, 0.00107728, 0.00257994, 0.00171835, 161.842, -54.0716, 0, 0.00107643, 0.310969, 30.9415, 276.38, 0.355428, 22.97, 138.889, -0.00160902, -0.00103209, 0.00430505, -0.00084475, -0.00084475, -0.00084475
3437, 1,0.0040321, 0.00115768, 0.000772089, 252.62, 73.0912, 0.00907057, 461.45, -149.998, 0.0333018, 0.000976191, 0.0051846, 0.00345473, 325.212, -108.23, 0, 0.000975485, 0.00288376, 0.00192355, 180.437, -60.0365, 0, 0.000974722, 0.0231541, 31.2844, 293.382, -0.120225, 24.2738, 155.956, -0.0017061, -0.00113218, 0.00459447, -0.000950245, -0.000950245, -0.000950245
3438, 1,0.00406644, 0.00120866, 0.000805516, 255.474, 76.3072, 0.00881376, 457.042, -143.409, 0.0279892, 0.00100988, 0.00526996, 0.00350401, 331.3, -111.331, -1.35525E-20, 0.00100931, 0.00286725, 0.00190672, 180.06, -60.9051, -1.35525E-20, 0.00100849, 2.19346, 35.7441, 296.055, 1.99181, 26.8122, 153.911, -0.00170914, -0.00108962, 0.00460527, -0.000919327, -0.000919327, -0.000919327
3439, 1,0.0041366, 0.00125381, 0.000835656, 259.66, 79.1501, 0.00895329, 457.222, -143.44, 0.0306886, 0.00104368, 0.00538538, 0.00358535, 338.337, -113.512, 0, 0.00104313, 0.00289219, 0.00192701, 181.402, -61.1746, 0, 0.00104225, 0.474536, 37.6792, 302.381, 0.406802, 28.0007, 155.116, -0.0017786, -0.00108463, 0.00470513, -0.000955862, -0.000955862, -0.000955862
3440, 1,0.00417423, 0.0012936, 0.000862233, 262.832, 81.6457, 0.0093763, 464.252, -154.086, 0.0394323, 0.00107768, 0.00546318, 0.00362977, 344.018, -115.949, 0, 0.00107695, 0.00288946, 0.00191796, 182.068, -62.006, 0, 0.00107601, 1.60821, 36.2555, 309.985, 1.66169, 27.0852, 157.271, -0.00179227, -0.00115094, 0.00482468, -0.000941683, -0.000941683, -0.000941683
3441, 1,0.0044698, 0.00127499, 0.000848818, 279.565, 80.6133, 0.0120752, 466.173, -153.776, 0.0920291, 0.000975906, 0.00574036, 0.00383031, 359.675, -119.453, 0, 0.000975231, 0.00320277, 0.00214173, 199.865, -66.1986, 0, 0.000974388, -1.02056, 34.0154, 325.365, -1.13031, 26.0337, 173.692, -0.0019057, -0.0012741, 0.00511809, -0.00106943, -0.00106943, -0.00106943
3442, 1,0.00452331, 0.00132999, 0.000885064, 282.047, 84.0655, 0.0119521, 461.672, -146.692, 0.0893092, 0.00100955, 0.00584863, 0.00389757, 365.609, -121.379, 0, 0.00100901, 0.00320187, 0.002136, 198.912, -65.7606, 0, 0.0010081, -0.749688, 37.4936, 327.392, -0.902439, 27.5969, 170.587, -0.00193029, -0.00124147, 0.00514131, -0.00105768, -0.00105768, -0.00105768
3443, 1,0.00456467, 0.00137755, 0.000916704, 285.022, 87.0801, 0.0120482, 463.825, -150.016, 0.0913201, 0.00104337, 0.00593796, 0.00395511, 371.628, -123.851, 0, 0.00104279, 0.00319502, 0.00213386, 198.831, -66.1702, 0, 0.00104182, -0.0228815, 38.5294, 333.045, -0.0346303, 27.7043, 170.841, -0.00195157, -0.00126103, 0.00522226, -0.00104354, -0.00104354, -0.00104354
3444, 1,0.00468178, 0.00142195, 0.000946414, 292.991, 89.8846, 0.0128002, 466.702, -153.807, 0.106072, 0.0010772, 0.00609957, 0.00406517, 382.388, -127.237, -3.38813E-21, 0.00107657, 0.00326762, 0.00218208, 204.028, -67.7486, -3.38813E-21, 0.00107553, -0.739511, 37.3173, 345.132, -0.702981, 27.1953, 176.753, -0.00201936, -0.00133283, 0.00541681, -0.00108188, -0.00108188, -0.00108188
3445, 1,0.00492776, 0.00139655, 0.000930185, 308.195, 88.37, 0.0183233, 470.992, -155.874, 0.21308, 0.000975671, 0.00632099, 0.00422275, 396.043, -131.333, 0, 0.00097495, 0.00353716, 0.00236893, 220.769, -73.1223, 0, 0.00097403, -0.729056, 35.4887, 359.24, -0.431169, 27.0322, 192.766, -0.00208746, -0.00146417, 0.0056827, -0.00116457, -0.00116457, -0.00116457
3446, 1,0.00497992, 0.00145331, 0.000968616, 307.52, 91.7861, 0.017823, 469.042, -153.089, 0.203313, 0.00100935, 0.00642896, 0.00432926, 398.739, -129.598, 0, 0.00100865, 0.00353439, 0.00239847, 216.782, -69.2994, 0, 0.00100766, -7.63246, 39.3139, 357.114, -6.98273, 29.0552, 185.826, -0.00220692, -0.00137518, 0.00568501, -0.00124363, -0.00124363, -0.00124363
3447, 1,0.00501724, 0.00150513, 0.00100281, 309.575, 95.023, 0.0181512, 466.288, -148.192, 0.209266, 0.00104297, 0.00651807, 0.00439271, 404.016, -131.105, 5.52742E-07, 0.00104235, 0.00352008, 0.00239386, 215.648, -68.6896, 5.52742E-07, 0.0010413, -8.76429, 41.1248, 360.953, -8.05246, 30.1556, 183.966, -0.0022501, -0.00136773, 0.00574521, -0.00125226, -0.00125226, -0.00125226
3448, 1,0.00513864, 0.00155355, 0.00103463, 319.706, 98.0238, 0.0197668, 473.353, -158.657, 0.240936, 0.00107692, 0.00668901, 0.00447156, 417.203, -137.149, 0.000219138, 0.00107611, 0.00359104, 0.00240712, 222.675, -72.5906, 9.76141E-05, 0.00107498, -4.15775, 38.9072, 376.698, -3.62973, 28.404, 192.997, -0.00225161, -0.00149992, 0.00597726, -0.00122096, -0.00122096, -0.00122096
3449, 1,0.00564383, 0.00153979, 0.00102686, 327.313, 96.4708, 0.0320612, 480.44, -161.973, 0.472443, 0.000975795, 0.00718035, 0.00485062, 423.175, -136.951, 0.0075311, 0.000974491, 0.00410972, 0.00280202, 231.949, -73.1956, 0.0069816, 0.000973478, -7.11149, 34.3029, 383.663, -6.97714, 24.9094, 201.655, -0.00249453, -0.00178021, 0.00650635, -0.00147104, -0.00147104, -0.00147104
3450, 1,0.00579059, 0.00159895, 0.00106809, 330.745, 99.4136, 0.0340346, 480.141, -161.609, 0.510188, 0.00100966, 0.0073845, 0.00498778, 429.441, -141.023, 0.00930505, 0.00100828, 0.00420046, 0.00286052, 232.662, -75.4575, 0.00840271, 0.00100721, -5.11499, 44.2889, 383.894, -4.55446, 32.7886, 198.138, -0.00256542, -0.00171007, 0.00657573, -0.00149499, -0.00149499, -0.00149499
3451, 1,0.00593853, 0.00165075, 0.00110221, 333.782, 102.389, 0.0365813, 482.325, -163.594, 0.556508, 0.00104353, 0.00758428, 0.00512925, 435.435, -143.263, 0.0113253, 0.00104196, 0.00429658, 0.00293286, 232.778, -75.5285, 0.0102573, 0.00104081, -6.11128, 47.804, 388.095, -5.80542, 35.2197, 197.171, -0.00266656, -0.00172835, 0.00673432, -0.00156378, -0.00156378, -0.00156378
3452, 1,0.00597789, 0.00169947, 0.00113274, 337.561, 105.842, 0.039093, 479.323, -155.563, 0.598929, 0.00107708, 0.007675, 0.00518001, 442.826, -145.78, 0.0117094, 0.00107556, 0.00428262, 0.00291936, 232.819, -75.3303, 0.0106719, 0.00107432, -5.06001, 42.5023, 399.897, -5.51038, 30.0737, 201.428, -0.00268388, -0.00186958, 0.00693447, -0.00155507, -0.00155507, -0.00155507
3453, 1,0.00668441, 0.00168432, 0.00112584, 340.644, 104.61, 0.0514392, 495.059, -173.627, 0.811274, 0.000976723, 0.00836452, 0.00568897, 444.649, -147.451, 0.0253238, 0.000974069, 0.00500704, 0.00344421, 237.173, -78.4074, 0.0248805, 0.000972962, -1.86838, 39.5338, 404.686, -1.12257, 29.0859, 207.259, -0.0029846, -0.00224726, 0.00765872, -0.00185383, -0.00185383, -0.00185383
3454, 1,0.00684523, 0.00174302, 0.00117366, 342.474, 106.692, 0.056123, 517.687, -209.344, 0.892146, 0.00101221, 0.00858097, 0.00585987, 448.338, -148.565, 0.0280594, 0.00100785, 0.00511429, 0.00352434, 237.365, -79.5134, 0.0272927, 0.0010067, -3.45292, 50.2423, 398.906, 0.0471177, 38.3856, 200.107, -0.00311467, -0.00210657, 0.00767025, -0.00191216, -0.00191216, -0.00191216
3455, 1,0.00687379, 0.0017887, 0.00120767, 344.908, 108.992, 0.0596426, 525.042, -218.005, 0.946445, 0.00104672, 0.00865711, 0.00590187, 453.117, -149.782, 0.0281856, 0.00104147, 0.00509413, 0.00349974, 237.433, -80.0618, 0.027232, 0.00104027, -3.93269, 51.2088, 402.069, 1.07293, 39.3353, 199.777, -0.00313807, -0.00212542, 0.00773271, -0.00188664, -0.00188664, -0.00188664
3456, 1,0.00699176, 0.0018432, 0.00123735, 347.284, 112.387, 0.061334, 514.997, -197.79, 0.96644, 0.00107968, 0.0088331, 0.00604048, 459.148, -151.081, 0.0303753, 0.00107487, 0.00515171, 0.0035688, 235.927, -78.2344, 0.0290174, 0.00107357, -5.73566, 44.2493, 414.728, -2.57594, 32.5573, 204.722, -0.00324529, -0.00231017, 0.00804919, -0.00198297, -0.00198297, -0.00198297
3457, 1,0.00783002, 0.00184748, 0.00124542, 347.319, 111.487, 0.0649643, 538.815, -191.24, 1, 0.000977839, 0.00967342, 0.00666922, 458.349, -149.719, 0.0467341, 0.000973422, 0.00598903, 0.00418666, 236.724, -77.9764, 0.0457225, 0.000972259, -5.44076, 35.9545, 418.645, -1.40612, 26.5532, 208.782, -0.00362081, -0.00278532, 0.00890053, -0.002344, -0.002344, -0.002344
3458, 1,0.00795256, 0.00192629, 0.00131728, 346.028, 112.193, 0.067112, 599.563, -210.701, 1, 0.00101285, 0.00987277, 0.00685805, 457.623, -147.786, 0.0506347, 0.00100753, 0.00603608, 0.00423401, 235.014, -77.3002, 0.047723, 0.00100634, -9.48849, 44.9068, 407.939, -1.34565, 33.1713, 200.075, -0.00379177, -0.00259595, 0.0088554, -0.00238328, -0.00238328, -0.00238328
3459, 1,0.00811085, 0.00202238, 0.00138253, 343.625, 113.65, 0.0678712, 614, -209.072, 1, 0.00104662, 0.0101279, 0.0070512, 456.686, -145.36, 0.055804, 0.00104115, 0.00609724, 0.00429349, 231.135, -72.9562, 0.0497641, 0.00103988, -13.6783, 45.2231, 404.537, -6.88174, 30.9031, 194.847, -0.00397431, -0.00260665, 0.00901538, -0.00248926, -0.00248926, -0.00248926
3460, 1,0.00833485, 0.00213536, 0.00145145, 347.753, 115.293, 0.068283, 616.217, -202.274, 1, 0.00107957, 0.0104683, 0.00725885, 462.674, -154.425, 0.0630494, 0.00107437, 0.00620265, 0.00436304, 233.203, -78.3189, 0.0525977, 0.00107298, -2.40369, 45.6997, 419.979, -0.505924, 30.7375, 204.725, -0.00403837, -0.00290434, 0.0095398, -0.0025033, -0.0025033, -0.0025033
3461, 1,0.0100892, 0.00220838, 0.00150658, 349.024, 114.589, 0.068374, 620.396, -205.416, 1, 0.000977833, 0.0122924, 0.00862983, 463.344, -155.367, 0.0985704, 0.000973078, 0.00788892, 0.0056277, 234.968, -79.5077, 0.0865704, 0.000971802, 0.165357, 38.9262, 427.008, 1.50979, 25.8563, 211.157, -0.00486821, -0.00376861, 0.0113045, -0.00327869, -0.00327869, -0.00327869
3462, 1,0.0101084, 0.00232946, 0.00160635, 345.836, 114.917, 0.0704861, 680.651, -226.589, 1, 0.00101294, 0.0124292, 0.00877278, 460.334, -149.782, 0.101606, 0.00100714, 0.00779256, 0.00557302, 231.752, -75.1484, 0.0857404, 0.00100584, -7.55298, 46.2007, 410.698, -3.09917, 29.8085, 198.736, -0.00504352, -0.00339653, 0.0110164, -0.00328912, -0.00328912, -0.00328912
3463, 1,0.010433, 0.00245398, 0.0016965, 350.001, 115.274, 0.0714255, 709.652, -239.16, 1, 0.0010473, 0.0128816, 0.00905417, 464.952, -156.809, 0.110799, 0.00104096, 0.00798752, 0.00567253, 235.376, -81.9023, 0.0902347, 0.0010396, 0.189166, 53.4331, 416.805, 4.73709, 36.5174, 204.452, -0.00521993, -0.00351322, 0.0114452, -0.00334198, -0.00334198, -0.00334198
3464, 1,0.0110308, 0.00257679, 0.00177861, 348.256, 116.239, 0.071808, 720.102, -242.923, 1, 0.00108055, 0.0136053, 0.00963318, 464.301, -155.352, 0.124518, 0.00107386, 0.00845755, 0.00608597, 232.404, -77.345, 0.0990601, 0.00107238, -3.03597, 40.9637, 428.129, -2.15874, 24.5744, 209.619, -0.00562294, -0.0041627, 0.0124945, -0.00366299, -0.00366299, -0.00366299
3465, 1,0.0149453, 0.00271578, 0.00188152, 349.309, 115.495, 0.0710793, 698.751, -234.598, 1, 0.000977889, 0.0176532, 0.0127351, 464.681, -155.532, 0.203258, 0.000972266, 0.0122407, 0.00902827, 234.054, -77.5634, 0.175982, 0.000970856, -0.441484, 30.9234, 436.114, -0.73154, 17.0817, 216.34, -0.00748488, -0.00609609, 0.0164274, -0.00541575, -0.00541575, -0.00541575
3466, 1,0.0150415, 0.00295818, 0.00205795, 352.654, 116.134, 0.0735968, 770.089, -260.246, 1, 0.00101236, 0.0179867, 0.0128945, 468.571, -161.01, 0.210625, 0.0010057, 0.0121023, 0.0088792, 236.95, -83.0922, 0.174857, 0.00100423, 13.1224, 43.6649, 426.243, 11.5221, 27.3959, 210.358, -0.0072217, -0.00588431, 0.0160665, -0.00492512, -0.00492512, -0.00492512
3467, 1,0.0153555, 0.00310505, 0.00216071, 348.828, 116.361, 0.0750307, 805.946, -268.379, 1, 0.00104642, 0.0184467, 0.0132974, 464.948, -154.608, 0.219184, 0.00103912, 0.0122709, 0.00906911, 232.942, -76.7538, 0.178192, 0.00103759, 6.16161, 36.6017, 421.061, 4.58801, 20.6655, 205.008, -0.00744775, -0.006103, 0.0164089, -0.00501977, -0.00501977, -0.00501977
3468, 1,0.01611, 0.00313729, 0.00219714, 356.046, 116.371, 0.0752207, 813.501, -272.8, 1, 0.00108042, 0.0192412, 0.0138881, 472.32, -166.784, 0.234516, 0.00107299, 0.0129815, 0.00953169, 239.869, -87.9614, 0.191951, 0.00107136, 10.9874, 44.1675, 445.196, 11.1677, 29.1133, 223.603, -0.00823753, -0.00660898, 0.0179601, -0.00573285, -0.00573285, -0.00573285
3469, 1,0.0236862, 0.00348054, 0.00242931, 357.57, 116.593, 0.0737928, 780.078, -267.844, 1, 0.000977525, 0.0271434, 0.0198966, 474.062, -168.554, 0.386232, 0.000971339, 0.0202363, 0.0151478, 241.176, -87.4409, 0.339968, 0.000969655, 19.8365, 32.886, 452.941, 14.3232, 19.9828, 228.017, -0.0114856, -0.0106488, 0.0256206, -0.00874961, -0.00874961, -0.00874961
3470, 1,0.0252017, 0.00388918, 0.00271697, 360.36, 118.105, 0.0767749, 864.474, -297.595, 1, 0.00101096, 0.0290399, 0.0218843, 478.257, -175.876, 0.425396, 0.00100372, 0.0213801, 0.0165749, 242.665, -91.069, 0.367679, 0.00100183, 46.6601, 36.8215, 444.147, 29.791, 22.7531, 220.663, -0.0106699, -0.011887, 0.0262988, -0.00780792, -0.00780792, -0.00780792
3471, 1,0.0258778, 0.00406558, 0.00284658, 360.661, 118.23, 0.0780712, 898.858, -307.304, 1, 0.0010451, 0.0298946, 0.0224747, 478.688, -175.662, 0.441277, 0.00103729, 0.0218772, 0.0168959, 242.832, -91.0868, 0.377702, 0.00103531, 45.8188, 35.6972, 445.469, 29.2197, 22.6266, 221.414, -0.0110522, -0.0123213, 0.0271548, -0.00807901, -0.00807901, -0.00807901
3472, 1,0.0252389, 0.00396388, 0.00278384, 354.017, 117.463, 0.0779024, 891.39, -301.901, 1, 0.00107992, 0.0291743, 0.0214118, 471.349, -162.136, 0.424072, 0.0010717, 0.0213134, 0.0159486, 236.811, -80.1178, 0.361819, 0.00106976, 12.369, 24.8649, 449.174, 5.8616, 11.8958, 222.596, -0.0124296, -0.0115902, 0.0274658, -0.00929118, -0.00929118, -0.00929118
3473, 1,0.0321797, 0.00437788, 0.00306281, 361.417, 118.325, 0.0764934, 851.553, -287.463, 1, 0.000975971, 0.0365442, 0.0272611, 479.7, -174.668, 0.561258, 0.000969718, 0.0278189, 0.0212069, 243.175, -89.4337, 0.493407, 0.000967661, 29.1473, 27.243, 467.613, 17.652, 14.868, 235.781, -0.015391, -0.0158315, 0.0353492, -0.0119869, -0.0119869, -0.0119869
3474, 1,0.0356342, 0.00486329, 0.00342846, 375.521, 120.545, 0.0796309, 945.336, -324.61, 1, 0.00100921, 0.0404682, 0.030985, 495.999, -202.103, 0.637835, 0.00100234, 0.0308085, 0.0242014, 255.111, -110.238, 0.559421, 0.000999851, 82.4382, 43.7413, 480.13, 53.8931, 31.4776, 245.343, -0.0141017, -0.019427, 0.0386205, -0.0107841, -0.0107841, -0.0107841
3475, 1,0.0362486, 0.00506412, 0.00358878, 376.068, 120.706, 0.0809071, 981.427, -337.244, 1, 0.00104334, 0.0412788, 0.0315291, 496.696, -202.206, 0.651774, 0.00103582, 0.0312284, 0.0244322, 255.518, -110.596, 0.567324, 0.00103321, 82.5841, 43.7073, 480.326, 53.9768, 32.4582, 245.354, -0.0143661, -0.0198075, 0.0393303, -0.0109932, -0.0109932, -0.0109932
3476, 1,0.034709, 0.00498354, 0.00350199, 366.86, 118.896, 0.0807382, 971.797, -329.951, 1, 0.00107876, 0.0396743, 0.0294258, 485.703, -182.18, 0.617672, 0.00107059, 0.0297493, 0.0224966, 248.071, -96.996, 0.532286, 0.00106816, 40.1638, 33.3336, 473.043, 27.8494, 22.8909, 240.248, -0.0163498, -0.0174309, 0.0382918, -0.0125127, -0.0125127, -0.0125127
3477, 1,0.0338956, 0.0050734, 0.00360146, 366.538, 119.963, 0.0769069, 865.493, -294.268, 1, 0.00100879, 0.0389433, 0.0291356, 486.431, -183.794, 0.604831, 0.00100245, 0.0288564, 0.0219981, 246.715, -95.0732, 0.514734, 0.00100011, 42.6826, 31.0575, 477.643, 25.664, 18.7106, 240.845, -0.0159421, -0.0175356, 0.0379799, -0.0121389, -0.0121389, -0.0121389
3478, 1,0.0374209, 0.00565362, 0.00411352, 370.338, 122.742, 0.0802105, 954.403, -319.59, 1, 0.00104169, 0.0430414, 0.0331684, 493, -194.638, 0.681774, 0.0010348, 0.0318112, 0.0250195, 247.754, -97.5783, 0.577069, 0.00103194, 74.5355, 25.1611, 484.216, 38.4085, 12.5624, 241.764, -0.0149328, -0.0219251, 0.041956, -0.0114381, -0.0114381, -0.0114381
3479, 1,0.0382755, 0.00585679, 0.00426437, 369.688, 123.001, 0.0815638, 990.716, -330.125, 1, 0.00107716, 0.0440935, 0.0339893, 492.596, -193.175, 0.699908, 0.00106967, 0.0324704, 0.0255539, 246.869, -95.9896, 0.590052, 0.00106666, 74.4272, 21.5732, 483.524, 37.3581, 10.0351, 240.576, -0.0150873, -0.0227137, 0.0429449, -0.0115379, -0.0115379, -0.0115379
3480, 1,0.0362054, 0.00564391, 0.00400951, 363.462, 121.137, 0.080851, 970.139, -324.389, 1, 0.00111431, 0.0418035, 0.0311675, 484.478, -178.198, 0.654487, 0.00110614, 0.030623, 0.0232496, 242.563, -87.5972, 0.548851, 0.00110337, 37.4392, 23.012, 474.142, 17.443, 10.1096, 235.239, -0.0169845, -0.0190429, 0.0405829, -0.0128612, -0.0128612, -0.0128612
3481, 1,0.00101334, -0.000731833, 0.000516725, 0.213252, -49.2237, 0.00225577, 6.59799, 134.362, 0, 0.00194955, 0.00131464, 0.00224953, -0.183547, 83.7185, 0, 0.00195115, 0.000712317, 0.00121659, 0.623528, 44.3919, 0, 0.00195239, -1.25702, -39.1678, -210.73, -0.17381, -19.6824, -113.32, 0.00129195, 0.000489974, -0.00314045, 0.000695477, 0.000695477, 0.000695477
3482, 1,0.00194282, -0.000815937, 0.000693056, 76.6238, -43.8252, 0.00388978, 146.766, 49.7986, 0, 0.00181744, 0.00251292, 0.00300254, 98.3039, 27.4848, 0, 0.0018181, 0.00137279, 0.00161666, 54.9468, 13.3432, 0, 0.00181852, 4.81025, 97.4155, -184.68, 2.9239, 54.3683, -97.3218, 0.000534643, 0.00249407, -0.00347472, 0.000271997, 0.000271997, 0.000271997
